"","face_PSC","body_PSC","person_PSC","subj","ROI","hemi"
"298",0.096782,0.54354,1.1533,1,"LO","Left"
"299",1.4106,1.6246,1.3152,1,"LO","Left"
"300",0.090313,0.26873,0.68987,1,"LO","Left"
"301",-1.859,0.7524,0.93673,1,"LO","Right"
"302",-1.7258,1.7078,-0.16829,1,"LO","Right"
"303",-0.49159,1.2874,0.43378,1,"LO","Right"
"304",0.1781,-0.27581,-0.10343,1,"LO","Right"
"305",0.36274,0.21024,0.64658,1,"LO","Right"
"306",0.35734,0.019594,0.14402,1,"LO","Right"
"307",0.54543,0.5697,0.98877,1,"LO","Right"
"308",1.111,0.96215,1.0021,1,"LO","Right"
"309",0.60694,1.5599,0.58422,1,"LO","Right"
"310",0.0092429,1.3666,0.81923,1,"LO","Right"
"311",0.050849,2.2607,1.3,1,"LO","Right"
"312",0.072362,1.3706,1.063,1,"LO","Right"
"313",0.14978,2.5684,1.659,1,"LO","Right"
"314",0.093387,2.562,1.9729,1,"LO","Right"
"315",0.18962,3.8213,2.2431,1,"LO","Right"
"316",1.1928,2.1897,1.7815,1,"LO","Right"
"317",0.1612,1.772,0.76646,1,"LO","Right"
"318",0.017134,2.0768,0.83823,1,"LO","Right"
"319",1.0073,2.1167,1.4778,1,"LO","Right"
"320",-0.98015,1.6021,0.67358,1,"LO","Right"
"321",0.29359,2.9209,1.6842,1,"LO","Right"
"322",0.0088408,1.5604,1.0757,1,"LO","Right"
"323",0.11211,0.97615,0.88311,1,"LO","Right"
"324",1.2128,2.4189,1.581,1,"LO","Right"
"325",-0.11638,2.2737,1.3164,1,"LO","Right"
"326",0.010818,1.0267,-0.010941,1,"LO","Right"
"327",0.88585,1.8381,1.3134,1,"LO","Right"
"328",0.21039,2.9844,1.5618,1,"LO","Right"
"329",-0.59735,0.8074,-0.19138,1,"LO","Right"
"330",0.14072,1.7195,0.82492,1,"LO","Right"
"331",3.5239,0.71047,3.2707,2,"FFA","Left"
"332",0.8686,-0.59531,2.0135,2,"FFA","Left"
"333",0.83383,0.72487,1.4929,2,"FFA","Left"
"334",2.1191,0.70743,1.712,2,"FFA","Left"
"335",1.1479,1.2258,1.4833,2,"FFA","Left"
"336",0.61881,0.44254,0.86792,2,"FFA","Left"
"337",1.7184,1.3413,2.2281,2,"FFA","Left"
"338",1.7684,2.047,1.7726,2,"FFA","Left"
"339",0.79153,-0.16197,-0.026782,2,"FFA","Left"
"340",7.1379,5.863,7.4021,2,"FFA","Left"
"341",1.1416,0.019422,1.4744,2,"FFA","Left"
"342",2.3983,1.4535,2.4073,2,"FFA","Left"
"343",-0.28694,-0.59796,-0.38394,2,"FFA","Left"
"344",-1.9853,-1.8901,-1.9488,2,"FFA","Left"
"345",0.29074,1.6246,1.5956,2,"FFA","Left"
"346",0.39964,1.1035,-0.51721,2,"FFA","Left"
"347",-0.12176,0.12031,-0.12578,2,"FFA","Left"
"348",2.3168,1.302,1.7468,2,"FFA","Left"
"349",7.0183,4.4748,6.5958,2,"FFA","Left"
"350",0.71929,0.32267,-0.29854,2,"FFA","Left"
"351",0.74446,0.5678,1.3461,2,"FFA","Left"
"352",3.5745,3.2969,3.2914,2,"FFA","Left"
"353",-1.958,-0.084382,-2.9465,2,"FFA","Left"
"354",1.3537,1.0581,0.45648,2,"FFA","Left"
"355",0.080321,-0.33941,-0.93475,2,"FFA","Left"
"356",1.0932,0.70295,1.0128,2,"FFA","Left"
"357",0.59536,0.3423,1.0194,2,"FFA","Left"
"358",0.72289,-0.10542,-0.39007,2,"FFA","Left"
"359",0.33736,0.090531,0.23326,2,"FFA","Left"
"360",1.5956,0.71699,1.7399,2,"FFA","Left"
"361",4.4435,2.3676,4.6892,2,"FFA","Right"
"362",7.116,2.866,7.2242,2,"FFA","Right"
"363",13.8792,10.8559,14.5764,2,"FFA","Right"
"364",4.2677,4.5153,4.2769,2,"FFA","Right"
"365",-2.1862,-5.0622,-2.7974,2,"FFA","Right"
"366",3.4021,3.2515,2.427,2,"FFA","Right"
"367",5.8905,5.3832,5.8166,2,"FFA","Right"
"368",0.34887,1.1306,0.85767,2,"FFA","Right"
"369",0.62245,0.42317,1.1056,2,"FFA","Right"
"370",1.77,0.6479,1.9925,2,"FFA","Right"
"371",0.72503,0.14025,0.44383,2,"FFA","Right"
"372",1.5808,1.7553,2.1646,2,"FFA","Right"
"373",1.5953,0.67354,2.7592,2,"FFA","Right"
"374",4.7629,2.629,4.2083,2,"FFA","Right"
"375",5.5435,4.0743,4.0293,2,"FFA","Right"
"376",2.938,1.5144,2.8907,2,"FFA","Right"
"377",1.9316,1.4367,2.6937,2,"FFA","Right"
"378",1.8595,0.59808,2.2599,2,"FFA","Right"
"379",3.8153,1.3466,3.3363,2,"FFA","Right"
"380",5.2973,3.3112,4.1792,2,"FFA","Right"
"381",1.3979,-0.2345,0.68946,2,"FFA","Right"
"382",1.7568,0.031056,1.3641,2,"FFA","Right"
"383",0.77694,-0.26901,-0.079532,2,"FFA","Right"
"384",1.3597,0.43873,1.6918,2,"FFA","Right"
"385",2.3126,2.7512,3.2147,2,"FFA","Right"
"386",1.1682,-0.49582,1.2379,2,"FFA","Right"
"387",4.0425,3.3542,4.5742,2,"FFA","Right"
"388",2.8916,3.2972,3.3935,2,"FFA","Right"
"389",0.036238,0.938,1.9947,2,"FFA","Right"
"390",2.3854,2.2579,3.8867,2,"FFA","Right"
"391",1.0797,2.5531,1.8365,2,"FBA","Left"
"392",1.9732,1.3272,2.1459,2,"FBA","Left"
"393",0.51152,0.84379,1.8756,2,"FBA","Left"
"394",1.0312,0.76035,0.90445,2,"FBA","Left"
"395",0.058647,2.6843,1.7837,2,"FBA","Left"
"396",-0.72158,0.74847,-0.014315,2,"FBA","Left"
"397",-0.19586,-0.30093,-0.10919,2,"FBA","Left"
"398",-0.39113,0.79682,0.85348,2,"FBA","Left"
"399",0.47681,2.535,3.3394,2,"FBA","Left"
"400",-0.71456,0.94265,0.83648,2,"FBA","Left"
"401",-0.01059,1.0462,1.4009,2,"FBA","Left"
"402",0.024914,0.8438,0.87033,2,"FBA","Left"
"403",1.8347,3.1487,2.2574,2,"FBA","Left"
"404",1.0064,1.4033,0.55517,2,"FBA","Left"
"405",2.0083,2.4205,1.6212,2,"FBA","Left"
"406",-0.13822,-0.1895,0.70014,2,"FBA","Left"
"407",0.37889,-0.01412,0.96948,2,"FBA","Left"
"408",0.38431,0.20523,1.1135,2,"FBA","Left"
"409",0.80649,-0.48283,-0.50753,2,"FBA","Left"
"410",0.89661,4.0276,5.0668,2,"FBA","Left"
"411",3.2986,3.1097,3.9399,2,"FBA","Left"
"412",2.5425,2.9344,3.4772,2,"FBA","Left"
"413",0.85382,0.84389,1.2262,2,"FBA","Left"
"414",1.4325,-0.62442,0.067455,2,"FBA","Left"
"415",0.9967,1.8053,0.83293,2,"FBA","Left"
"416",0.50013,0.14897,0.61403,2,"FBA","Left"
"417",-0.54696,1.2554,0.55496,2,"FBA","Left"
"418",-0.67807,-0.16435,0.46922,2,"FBA","Left"
"419",2.8895,2.4017,3.2475,2,"FBA","Left"
"420",1.1705,1.4982,1.873,2,"FBA","Left"
"421",0.91686,1.9266,3.007,2,"FBA","Right"
"422",1.9039,2.4999,0.4394,2,"FBA","Right"
"423",1.1826,1.9736,2.6271,2,"FBA","Right"
"424",0.14873,0.81215,-0.047465,2,"FBA","Right"
"425",1.0119,2.5908,1.712,2,"FBA","Right"
"426",0.20918,0.70267,0.61531,2,"FBA","Right"
"427",-0.71625,-0.40576,-1.1877,2,"FBA","Right"
"428",-1.0261,-0.64542,-1.0868,2,"FBA","Right"
"429",-0.056452,0.29064,0.83542,2,"FBA","Right"
"430",0.084251,0.090262,-0.1452,2,"FBA","Right"
"431",0.66236,2.3677,2.4311,2,"FBA","Right"
"432",0.76721,1.2247,0.9996,2,"FBA","Right"
"433",0.3434,0.025815,0.36291,2,"FBA","Right"
"434",-0.017116,0.2672,0.50898,2,"FBA","Right"
"435",0.01115,0.027919,1.0146,2,"FBA","Right"
"436",0.0073135,-1.0707,0.090251,2,"FBA","Right"
"437",0.72744,1.2084,1.6241,2,"FBA","Right"
"438",0.51448,1.7132,1.6221,2,"FBA","Right"
"439",0.26744,2.4441,2.3623,2,"FBA","Right"
"440",0.17416,0.86275,0.20013,2,"FBA","Right"
"441",-0.4272,1.1757,0.32297,2,"FBA","Right"
"442",0.23658,1.0204,1.5622,2,"FBA","Right"
"443",-0.065318,1.0799,0.061047,2,"FBA","Right"
"444",-0.73527,-0.01981,0.41798,2,"FBA","Right"
"445",0.10766,1.2984,0.8749,2,"FBA","Right"
"446",-0.095834,1.0834,1.1599,2,"FBA","Right"
"447",0.59973,1.2538,1.1462,2,"FBA","Right"
"448",0.042541,0.47334,1.24,2,"FBA","Right"
"449",0.99031,1.7488,1.6948,2,"FBA","Right"
"450",0.56167,2.4083,2.0744,2,"FBA","Right"
"451",-0.14154,3.3412,1.9844,2,"medial_obj","Left"
"452",-0.76219,3.07,0.24441,2,"medial_obj","Left"
"453",0.45964,2.7776,1.7848,2,"medial_obj","Left"
"454",-0.12573,1.3567,0.13689,2,"medial_obj","Left"
"455",0.35386,1.1327,-0.2249,2,"medial_obj","Left"
"456",0.42734,1.3144,0.68868,2,"medial_obj","Left"
"457",0.025576,2.3562,0.97008,2,"medial_obj","Left"
"458",-1.1088,1.4882,1.9348,2,"medial_obj","Left"
"459",-0.43053,2.3316,2.5035,2,"medial_obj","Left"
"460",-0.59679,2.53,0.94107,2,"medial_obj","Left"
"461",1.5254,1.9911,2.7905,2,"medial_obj","Left"
"462",-1.0768,0.24171,1.5559,2,"medial_obj","Left"
"463",1.8079,2.398,1.5747,2,"medial_obj","Left"
"464",1.1168,1.7275,1.0536,2,"medial_obj","Left"
"465",1.849,0.22613,0.40613,2,"medial_obj","Left"
"466",-0.35997,2.2289,0.45138,2,"medial_obj","Left"
