"","face_PSC","body_PSC","person_PSC","subj","ROI","hemi"
"3581",1.7583,-0.026585,1.4518,15,"OFA","Left"
"3582",1.5119,-0.53495,0.58838,15,"OFA","Left"
"3583",1.8085,-0.065156,1.0634,15,"OFA","Left"
"3584",1.6206,-0.78678,-0.4124,15,"OFA","Left"
"3585",2.3796,0.86723,2.0591,15,"OFA","Left"
"3586",1.2777,0.51644,1.2252,15,"OFA","Left"
"3587",0.98805,0.055489,0.7998,15,"OFA","Left"
"3588",1.4339,0.22884,1.4886,15,"OFA","Left"
"3589",1.2292,0.14891,1.2493,15,"OFA","Left"
"3590",1.0433,-0.22247,0.97011,15,"OFA","Left"
"3591",5.4708,2.0892,4.8651,15,"OFA","Left"
"3592",3.8626,2.1455,4.2188,15,"OFA","Left"
"3593",0.68784,0.76604,1.0996,15,"OFA","Left"
"3594",3.1023,1.1068,3.4502,15,"OFA","Left"
"3595",3.304,1.4673,3.3948,15,"OFA","Left"
"3596",0.0031624,0.39422,0.67412,15,"OFA","Left"
"3597",1.1096,0.67234,1.0584,15,"OFA","Left"
"3598",2.8178,2.1429,3.4216,15,"OFA","Left"
"3599",2.4802,0.70822,2.35,15,"OFA","Left"
"3600",2.6692,1.8366,3.1109,15,"OFA","Left"
"3601",0.096616,0.87241,0.88128,15,"EBA","Left"
"3602",0.34548,0.92058,1.3065,15,"EBA","Left"
"3603",1.1682,2.5736,3.2912,15,"EBA","Left"
"3604",1.9786,3.7455,4.3217,15,"EBA","Left"
"3605",1.9107,3.8411,4.269,15,"EBA","Left"
"3606",0.012473,0.61261,0.81602,15,"EBA","Left"
"3607",4.1321,5.0744,5.6142,15,"EBA","Left"
"3608",2.0745,2.5162,2.7196,15,"EBA","Left"
"3609",1.4856,0.70064,0.71252,15,"EBA","Left"
"3610",0.13349,1.1467,1.1752,15,"EBA","Left"
"3611",1.0672,2.2941,2.7765,15,"EBA","Left"
"3612",0.69863,2.6624,2.8932,15,"EBA","Left"
"3613",1.5948,4.3559,4.8099,15,"EBA","Left"
"3614",3.1888,7.2,8.7012,15,"EBA","Left"
"3615",0.31482,0.72295,0.80865,15,"EBA","Left"
"3616",0.22766,1.1015,1.6108,15,"EBA","Left"
"3617",0.88089,2.0001,2.5568,15,"EBA","Left"
"3618",0.88176,0.23152,-0.054392,15,"EBA","Left"
"3619",0.64008,1.7342,1.8576,15,"EBA","Left"
"3620",0.46638,1.2289,1.3844,15,"EBA","Left"
"3621",0.25883,0.22529,0.26143,15,"EBA","Left"
"3622",0.6516,1.0674,1.2146,15,"EBA","Left"
"3623",0.50332,1.0342,1.7057,15,"EBA","Left"
"3624",0.49896,1.4085,1.7251,15,"EBA","Left"
"3625",0.50391,1.3187,1.7619,15,"EBA","Left"
"3626",-0.092603,0.023816,0.36389,15,"EBA","Left"
"3627",0.52751,0.53642,0.94201,15,"EBA","Left"
"3628",-0.098728,0.3805,0.54043,15,"EBA","Left"
"3629",0.097321,0.09263,0.28766,15,"EBA","Left"
"3630",0.26473,0.8933,1.1814,15,"EBA","Left"
"3631",0.95576,-0.0018725,0.8252,15,"OFA","Right"
"3632",0.69596,-0.85986,0.40285,15,"OFA","Right"
"3633",0.85218,0.53515,0.79575,15,"OFA","Right"
"3634",2.7646,1.2845,2.4165,15,"OFA","Right"
"3635",0.47735,-0.79541,0.36793,15,"OFA","Right"
"3636",0.58164,0.37999,0.90017,15,"OFA","Right"
"3637",1.3086,1.1147,0.98712,15,"OFA","Right"
"3638",1.0959,-0.042007,0.99881,15,"OFA","Right"
"3639",0.34237,0.061555,0.28242,15,"OFA","Right"
"3640",5.1265,1.2562,4.45,15,"OFA","Right"
"3641",1.1023,0.13488,0.7909,15,"OFA","Right"
"3642",2.5952,1.0216,2.31,15,"OFA","Right"
"3643",5.8311,2.2727,5.1957,15,"OFA","Right"
"3644",3.4179,1.5858,2.9718,15,"OFA","Right"
"3645",2.9114,1.5689,2.2271,15,"OFA","Right"
"3646",0.14695,0.39218,0.51751,15,"OFA","Right"
"3647",7.2711,4.1883,7.1557,15,"OFA","Right"
"3648",4.4882,1.9907,4.225,15,"OFA","Right"
"3649",0.59665,-0.015279,0.25275,15,"OFA","Right"
"3650",1.9677,1.3318,2.3537,15,"OFA","Right"
"3651",6.727,3.4303,5.9676,15,"OFA","Right"
"3652",4.4002,2.1872,4.1329,15,"OFA","Right"
"3653",2.9609,1.8466,3.2574,15,"OFA","Right"
"3654",4.492,2.857,4.547,15,"OFA","Right"
"3655",7.4291,4.7734,6.9064,15,"OFA","Right"
"3656",1.5774,1.5072,1.14,15,"OFA","Right"
"3657",4.774,2.6372,4.9748,15,"OFA","Right"
"3658",1.362,0.72805,1.2386,15,"OFA","Right"
"3659",0.8718,0.10319,0.68619,15,"OFA","Right"
"3660",-0.27468,-0.1084,-0.20183,15,"OFA","Right"
"3661",-0.26233,0.29183,0.015008,15,"EBA","Right"
"3662",0.32099,0.60507,0.67838,15,"EBA","Right"
"3663",0.38287,0.66882,0.82697,15,"EBA","Right"
"3664",4.4955,4.7102,5.0876,15,"EBA","Right"
"3665",1.495,2.3433,2.5165,15,"EBA","Right"
"3666",0.16013,0.84549,0.62418,15,"EBA","Right"
"3667",0.75426,1.2976,1.1863,15,"EBA","Right"
"3668",0.22771,0.72222,0.63143,15,"EBA","Right"
"3669",0.43975,1.0446,1.4143,15,"EBA","Right"
"3670",0.7513,1.2866,1.1908,15,"EBA","Right"
